sequence,image1,image2,image3,has_animal,mask_MOG2,mask_flow1,opticalflowGF_1,opticalflowGF_2,opticalflowGF_average
13,090816194736001a1112.JPG,090816194736001a1113.JPG,090816194738001a1111.JPG,1,13_mask_MOG2.png,13_mask_flow1.png,13_opticalflowGF_1.png,13_opticalflowGF_2.png,13_opticalflowGF_average.png
15,050816144738001a1111.JPG,050816144738001a1112.JPG,050816144738001a1113.JPG,1,15_mask_MOG2.png,15_mask_flow1.png,15_opticalflowGF_1.png,15_opticalflowGF_2.png,15_opticalflowGF_average.png
17,180516121622001a1602.JPG,180516121622001a1603.JPG,180516121624001a1601.JPG,1,17_mask_MOG2.png,17_mask_flow1.png,17_opticalflowGF_1.png,17_opticalflowGF_2.png,17_opticalflowGF_average.png
18,260416120224001a1601.JPG,260416120224001a1602.JPG,260416120224001a1603.JPG,1,18_mask_MOG2.png,18_mask_flow1.png,18_opticalflowGF_1.png,18_opticalflowGF_2.png,18_opticalflowGF_average.png
19,260416100220001a1601.JPG,260416100220001a1602.JPG,260416100220001a1603.JPG,0,19_mask_MOG2.png,19_mask_flow1.png,19_opticalflowGF_1.png,19_opticalflowGF_2.png,19_opticalflowGF_average.png
22,100516120628001a1604.JPG,100516120628001a1605.JPG,100516120628001a1606.JPG,1,22_mask_MOG2.png,22_mask_flow1.png,22_opticalflowGF_1.png,22_opticalflowGF_2.png,22_opticalflowGF_average.png
23,090516044734001a1601.JPG,090516044734001a1602.JPG,090516044734001a1603.JPG,1,23_mask_MOG2.png,23_mask_flow1.png,23_opticalflowGF_1.png,23_opticalflowGF_2.png,23_opticalflowGF_average.png
26,050516161440001a1602.JPG,050516161440001a1603.JPG,050516161442001a1601.JPG,1,26_mask_MOG2.png,26_mask_flow1.png,26_opticalflowGF_1.png,26_opticalflowGF_2.png,26_opticalflowGF_average.png
27,010516111052001a1601.JPG,010516111052001a1602.JPG,010516111052001a1603.JPG,1,27_mask_MOG2.png,27_mask_flow1.png,27_opticalflowGF_1.png,27_opticalflowGF_2.png,27_opticalflowGF_average.png
28,180216225420001as071.JPG,180216225420001as072.JPG,180216225420001as073.JPG,1,28_mask_MOG2.png,28_mask_flow1.png,28_opticalflowGF_1.png,28_opticalflowGF_2.png,28_opticalflowGF_average.png
29,070216123238001as071.JPG,070216123238001as072.JPG,070216123238001as073.JPG,1,29_mask_MOG2.png,29_mask_flow1.png,29_opticalflowGF_1.png,29_opticalflowGF_2.png,29_opticalflowGF_average.png
37,230116065608001as073.JPG,230116065610001as071.JPG,230116065610001as072.JPG,1,37_mask_MOG2.png,37_mask_flow1.png,37_opticalflowGF_1.png,37_opticalflowGF_2.png,37_opticalflowGF_average.png
39,150216224254001as073.JPG,150216224256001as071.JPG,150216224256001as072.JPG,1,39_mask_MOG2.png,39_mask_flow1.png,39_opticalflowGF_1.png,39_opticalflowGF_2.png,39_opticalflowGF_average.png
41,120216083622001as072.JPG,120216083622001as073.JPG,120216083624001as071.JPG,0,41_mask_MOG2.png,41_mask_flow1.png,41_opticalflowGF_1.png,41_opticalflowGF_2.png,41_opticalflowGF_average.png
43,110216104034001as071.JPG,110216104034001as072.JPG,110216104034001as073.JPG,1,43_mask_MOG2.png,43_mask_flow1.png,43_opticalflowGF_1.png,43_opticalflowGF_2.png,43_opticalflowGF_average.png
44,110216082938001as073.JPG,110216082940001as071.JPG,110216082940001as072.JPG,0,44_mask_MOG2.png,44_mask_flow1.png,44_opticalflowGF_1.png,44_opticalflowGF_2.png,44_opticalflowGF_average.png
46,080216044354001as071.JPG,080216044354001as072.JPG,080216044354001as073.JPG,1,46_mask_MOG2.png,46_mask_flow1.png,46_opticalflowGF_1.png,46_opticalflowGF_2.png,46_opticalflowGF_average.png
48,181016182506001as461.JPG,181016182506001as462.JPG,181016182508001as463.JPG,1,48_mask_MOG2.png,48_mask_flow1.png,48_opticalflowGF_1.png,48_opticalflowGF_2.png,48_opticalflowGF_average.png
52,181016025852001as461.JPG,181016025852001as462.JPG,181016025854001as463.JPG,0,52_mask_MOG2.png,52_mask_flow1.png,52_opticalflowGF_1.png,52_opticalflowGF_2.png,52_opticalflowGF_average.png
55,121016140150001as461.JPG,121016140152001as462.JPG,121016140152001as463.JPG,1,55_mask_MOG2.png,55_mask_flow1.png,55_opticalflowGF_1.png,55_opticalflowGF_2.png,55_opticalflowGF_average.png
56,041116061118001as461.JPG,041116061118001as462.JPG,041116061120001as463.JPG,1,56_mask_MOG2.png,56_mask_flow1.png,56_opticalflowGF_1.png,56_opticalflowGF_2.png,56_opticalflowGF_average.png
57,311016064504001as461.JPG,311016064504001as462.JPG,311016064506001as463.JPG,0,57_mask_MOG2.png,57_mask_flow1.png,57_opticalflowGF_1.png,57_opticalflowGF_2.png,57_opticalflowGF_average.png
58,271016061142001as461.JPG,271016061142001as462.JPG,271016061142001as463.JPG,0,58_mask_MOG2.png,58_mask_flow1.png,58_opticalflowGF_1.png,58_opticalflowGF_2.png,58_opticalflowGF_average.png
59,261016143948001as464.JPG,261016143950001as465.JPG,261016143950001as466.JPG,1,59_mask_MOG2.png,59_mask_flow1.png,59_opticalflowGF_1.png,59_opticalflowGF_2.png,59_opticalflowGF_average.png
60,231016181706001as461.JPG,231016181708001as462.JPG,231016181708001as463.JPG,1,60_mask_MOG2.png,60_mask_flow1.png,60_opticalflowGF_1.png,60_opticalflowGF_2.png,60_opticalflowGF_average.png
61,201016200536001as461.JPG,201016200536001as462.JPG,201016200538001as463.JPG,1,61_mask_MOG2.png,61_mask_flow1.png,61_opticalflowGF_1.png,61_opticalflowGF_2.png,61_opticalflowGF_average.png
62,201016023622001as461.JPG,201016023622001as462.JPG,201016023622001as463.JPG,1,62_mask_MOG2.png,62_mask_flow1.png,62_opticalflowGF_1.png,62_opticalflowGF_2.png,62_opticalflowGF_average.png
63,191016162816001as461.JPG,191016162816001as462.JPG,191016162816001as463.JPG,1,63_mask_MOG2.png,63_mask_flow1.png,63_opticalflowGF_1.png,63_opticalflowGF_2.png,63_opticalflowGF_average.png
64,240516120022001b9231.JPG,240516120022001b9232.JPG,240516120022001b9233.JPG,1,64_mask_MOG2.png,64_mask_flow1.png,64_opticalflowGF_1.png,64_opticalflowGF_2.png,64_opticalflowGF_average.png
66,090516144744001b9232.JPG,090516144744001b9233.JPG,090516144746001b9231.JPG,1,66_mask_MOG2.png,66_mask_flow1.png,66_opticalflowGF_1.png,66_opticalflowGF_2.png,66_opticalflowGF_average.png
68,060516153738001b9231.JPG,060516153738001b9232.JPG,060516153738001b9233.JPG,1,68_mask_MOG2.png,68_mask_flow1.png,68_opticalflowGF_1.png,68_opticalflowGF_2.png,68_opticalflowGF_average.png
69,260416130044001b9233.JPG,260416130046001b9231.JPG,260416130046001b9232.JPG,1,69_mask_MOG2.png,69_mask_flow1.png,69_opticalflowGF_1.png,69_opticalflowGF_2.png,69_opticalflowGF_average.png
70,250416013542001b9231.JPG,250416013542001b9232.JPG,250416013542001b9233.JPG,1,70_mask_MOG2.png,70_mask_flow1.png,70_opticalflowGF_1.png,70_opticalflowGF_2.png,70_opticalflowGF_average.png
72,220416164508001b9231.JPG,220416164508001b9232.JPG,220416164508001b9233.JPG,0,72_mask_MOG2.png,72_mask_flow1.png,72_opticalflowGF_1.png,72_opticalflowGF_2.png,72_opticalflowGF_average.png
73,220416043108001b9231.JPG,220416043108001b9232.JPG,220416043108001b9233.JPG,1,73_mask_MOG2.png,73_mask_flow1.png,73_opticalflowGF_1.png,73_opticalflowGF_2.png,73_opticalflowGF_average.png
74,240516092356001b9233.JPG,240516092358001b9231.JPG,240516092358001b9232.JPG,1,74_mask_MOG2.png,74_mask_flow1.png,74_opticalflowGF_1.png,74_opticalflowGF_2.png,74_opticalflowGF_average.png
75,230516115452001b9232.JPG,230516115452001b9233.JPG,230516115454001b9231.JPG,1,75_mask_MOG2.png,75_mask_flow1.png,75_opticalflowGF_1.png,75_opticalflowGF_2.png,75_opticalflowGF_average.png
77,170516140510001b9232.JPG,170516140510001b9233.JPG,170516140512001b9231.JPG,1,77_mask_MOG2.png,77_mask_flow1.png,77_opticalflowGF_1.png,77_opticalflowGF_2.png,77_opticalflowGF_average.png
78,170516135812001b9236.JPG,170516135814001b9234.JPG,170516135814001b9235.JPG,1,78_mask_MOG2.png,78_mask_flow1.png,78_opticalflowGF_1.png,78_opticalflowGF_2.png,78_opticalflowGF_average.png
79,170516135458001b9231.JPG,170516135458001b9232.JPG,170516135458001b9233.JPG,1,79_mask_MOG2.png,79_mask_flow1.png,79_opticalflowGF_1.png,79_opticalflowGF_2.png,79_opticalflowGF_average.png
80,170516135036001b9231.JPG,170516135036001b9232.JPG,170516135036001b9233.JPG,1,80_mask_MOG2.png,80_mask_flow1.png,80_opticalflowGF_1.png,80_opticalflowGF_2.png,80_opticalflowGF_average.png
82,210816080712001b9704.JPG,210816080712001b9705.JPG,210816080712001b9706.JPG,0,82_mask_MOG2.png,82_mask_flow1.png,82_opticalflowGF_1.png,82_opticalflowGF_2.png,82_opticalflowGF_average.png
83,090816093552001b9701.JPG,090816093552001b9702.JPG,090816093552001b9703.JPG,1,83_mask_MOG2.png,83_mask_flow1.png,83_opticalflowGF_1.png,83_opticalflowGF_2.png,83_opticalflowGF_average.png
84,080816140016001b9703.JPG,080816140018001b9701.JPG,080816140018001b9702.JPG,1,84_mask_MOG2.png,84_mask_flow1.png,84_opticalflowGF_1.png,84_opticalflowGF_2.png,84_opticalflowGF_average.png
85,080816121932001b9702.JPG,080816121932001b9703.JPG,080816121934001b9701.JPG,1,85_mask_MOG2.png,85_mask_flow1.png,85_opticalflowGF_1.png,85_opticalflowGF_2.png,85_opticalflowGF_average.png
86,080816105356001b9702.JPG,080816105356001b9703.JPG,080816105358001b9701.JPG,1,86_mask_MOG2.png,86_mask_flow1.png,86_opticalflowGF_1.png,86_opticalflowGF_2.png,86_opticalflowGF_average.png
87,080816104934001b9702.JPG,080816104934001b9703.JPG,080816104936001b9701.JPG,1,87_mask_MOG2.png,87_mask_flow1.png,87_opticalflowGF_1.png,87_opticalflowGF_2.png,87_opticalflowGF_average.png
88,070816153410001b9703.JPG,070816153412001b9701.JPG,070816153412001b9702.JPG,1,88_mask_MOG2.png,88_mask_flow1.png,88_opticalflowGF_1.png,88_opticalflowGF_2.png,88_opticalflowGF_average.png
89,070816104214001b9701.JPG,070816104214001b9702.JPG,070816104214001b9703.JPG,1,89_mask_MOG2.png,89_mask_flow1.png,89_opticalflowGF_1.png,89_opticalflowGF_2.png,89_opticalflowGF_average.png
90,060816083444001b9701.JPG,060816083444001b9702.JPG,060816083444001b9703.JPG,1,90_mask_MOG2.png,90_mask_flow1.png,90_opticalflowGF_1.png,90_opticalflowGF_2.png,90_opticalflowGF_average.png
91,050816085516001b9703.JPG,050816085518001b9701.JPG,050816085518001b9702.JPG,1,91_mask_MOG2.png,91_mask_flow1.png,91_opticalflowGF_1.png,91_opticalflowGF_2.png,91_opticalflowGF_average.png
92,050816034608001b9701.JPG,050816034608001b9702.JPG,050816034608001b9703.JPG,0,92_mask_MOG2.png,92_mask_flow1.png,92_opticalflowGF_1.png,92_opticalflowGF_2.png,92_opticalflowGF_average.png
93,180816134852001b9701.JPG,180816134852001b9702.JPG,180816134852001b9703.JPG,1,93_mask_MOG2.png,93_mask_flow1.png,93_opticalflowGF_1.png,93_opticalflowGF_2.png,93_opticalflowGF_average.png
94,050816034442001b9702.JPG,050816034442001b9703.JPG,050816034444001b9701.JPG,1,94_mask_MOG2.png,94_mask_flow1.png,94_opticalflowGF_1.png,94_opticalflowGF_2.png,94_opticalflowGF_average.png
95,030816130618001b9701.JPG,030816130618001b9702.JPG,030816130618001b9703.JPG,1,95_mask_MOG2.png,95_mask_flow1.png,95_opticalflowGF_1.png,95_opticalflowGF_2.png,95_opticalflowGF_average.png
96,010816161430001b9702.JPG,010816161430001b9703.JPG,010816161432001b9701.JPG,1,96_mask_MOG2.png,96_mask_flow1.png,96_opticalflowGF_1.png,96_opticalflowGF_2.png,96_opticalflowGF_average.png
99,300716154510001b9701.JPG,300716154510001b9702.JPG,300716154510001b9703.JPG,0,99_mask_MOG2.png,99_mask_flow1.png,99_opticalflowGF_1.png,99_opticalflowGF_2.png,99_opticalflowGF_average.png
100,300716092900001b9703.JPG,300716092900001b9704.JPG,300716092900001b9705.JPG,0,100_mask_MOG2.png,100_mask_flow1.png,100_opticalflowGF_1.png,100_opticalflowGF_2.png,100_opticalflowGF_average.png
101,300716092448001b9701.JPG,300716092448001b9702.JPG,300716092448001b9703.JPG,0,101_mask_MOG2.png,101_mask_flow1.png,101_opticalflowGF_1.png,101_opticalflowGF_2.png,101_opticalflowGF_average.png
102,300716092134001b9702.JPG,300716092134001b9703.JPG,300716092136001b9701.JPG,0,102_mask_MOG2.png,102_mask_flow1.png,102_opticalflowGF_1.png,102_opticalflowGF_2.png,102_opticalflowGF_average.png
104,160816130144001b9702.JPG,160816130144001b9703.JPG,160816130146001b9701.JPG,1,104_mask_MOG2.png,104_mask_flow1.png,104_opticalflowGF_1.png,104_opticalflowGF_2.png,104_opticalflowGF_average.png
106,260716105926001b9701.JPG,260716105926001b9702.JPG,260716105926001b9703.JPG,0,106_mask_MOG2.png,106_mask_flow1.png,106_opticalflowGF_1.png,106_opticalflowGF_2.png,106_opticalflowGF_average.png
107,240716143732001b9701.JPG,240716143732001b9702.JPG,240716143732001b9703.JPG,1,107_mask_MOG2.png,107_mask_flow1.png,107_opticalflowGF_1.png,107_opticalflowGF_2.png,107_opticalflowGF_average.png
108,150816072858001b9701.JPG,150816072858001b9702.JPG,150816072858001b9703.JPG,0,108_mask_MOG2.png,108_mask_flow1.png,108_opticalflowGF_1.png,108_opticalflowGF_2.png,108_opticalflowGF_average.png
109,140816113146001b9701.JPG,140816113146001b9702.JPG,140816113146001b9703.JPG,1,109_mask_MOG2.png,109_mask_flow1.png,109_opticalflowGF_1.png,109_opticalflowGF_2.png,109_opticalflowGF_average.png
111,120816151932001b9702.JPG,120816151932001b9703.JPG,120816151934001b9701.JPG,0,111_mask_MOG2.png,111_mask_flow1.png,111_opticalflowGF_1.png,111_opticalflowGF_2.png,111_opticalflowGF_average.png
112,110816104840001b9702.JPG,110816104840001b9703.JPG,110816104842001b9701.JPG,1,112_mask_MOG2.png,112_mask_flow1.png,112_opticalflowGF_1.png,112_opticalflowGF_2.png,112_opticalflowGF_average.png
113,110816074956001b9702.JPG,110816074956001b9703.JPG,110816074958001b9701.JPG,1,113_mask_MOG2.png,113_mask_flow1.png,113_opticalflowGF_1.png,113_opticalflowGF_2.png,113_opticalflowGF_average.png
114,131116162904001bs171.JPG,131116162904001bs172.JPG,131116162904001bs173.JPG,0,114_mask_MOG2.png,114_mask_flow1.png,114_opticalflowGF_1.png,114_opticalflowGF_2.png,114_opticalflowGF_average.png
116,141016124428001bs171.JPG,141016124428001bs172.JPG,141016124428001bs173.JPG,1,116_mask_MOG2.png,116_mask_flow1.png,116_opticalflowGF_1.png,116_opticalflowGF_2.png,116_opticalflowGF_average.png
117,111116140656001bs171.JPG,111116140656001bs172.JPG,111116140656001bs173.JPG,1,117_mask_MOG2.png,117_mask_flow1.png,117_opticalflowGF_1.png,117_opticalflowGF_2.png,117_opticalflowGF_average.png
118,111116110020001bs171.JPG,111116110020001bs172.JPG,111116110022001bs173.JPG,1,118_mask_MOG2.png,118_mask_flow1.png,118_opticalflowGF_1.png,118_opticalflowGF_2.png,118_opticalflowGF_average.png
119,061116163724001bs171.JPG,061116163726001bs172.JPG,061116163726001bs173.JPG,1,119_mask_MOG2.png,119_mask_flow1.png,119_opticalflowGF_1.png,119_opticalflowGF_2.png,119_opticalflowGF_average.png
120,041116170826001bs171.JPG,041116170826001bs172.JPG,041116170826001bs173.JPG,1,120_mask_MOG2.png,120_mask_flow1.png,120_opticalflowGF_1.png,120_opticalflowGF_2.png,120_opticalflowGF_average.png
121,021116094118001bs171.JPG,021116094118001bs172.JPG,021116094120001bs173.JPG,1,121_mask_MOG2.png,121_mask_flow1.png,121_opticalflowGF_1.png,121_opticalflowGF_2.png,121_opticalflowGF_average.png
123,231016225444001bs171.JPG,231016225444001bs172.JPG,231016225446001bs173.JPG,1,123_mask_MOG2.png,123_mask_flow1.png,123_opticalflowGF_1.png,123_opticalflowGF_2.png,123_opticalflowGF_average.png
124,191016181102001bs171.JPG,191016181102001bs172.JPG,191016181102001bs173.JPG,1,124_mask_MOG2.png,124_mask_flow1.png,124_opticalflowGF_1.png,124_opticalflowGF_2.png,124_opticalflowGF_average.png
125,180216171840001bs311.JPG,180216171840001bs312.JPG,180216171840001bs313.JPG,1,125_mask_MOG2.png,125_mask_flow1.png,125_opticalflowGF_1.png,125_opticalflowGF_2.png,125_opticalflowGF_average.png
127,130216213654001bs312.JPG,130216213654001bs313.JPG,130216213656001bs311.JPG,1,127_mask_MOG2.png,127_mask_flow1.png,127_opticalflowGF_1.png,127_opticalflowGF_2.png,127_opticalflowGF_average.png
128,130216050514001bs314.JPG,130216050514001bs315.JPG,130216050514001bs316.JPG,1,128_mask_MOG2.png,128_mask_flow1.png,128_opticalflowGF_1.png,128_opticalflowGF_2.png,128_opticalflowGF_average.png
131,120216160432001bs313.JPG,120216160434001bs311.JPG,120216160434001bs312.JPG,1,131_mask_MOG2.png,131_mask_flow1.png,131_opticalflowGF_1.png,131_opticalflowGF_2.png,131_opticalflowGF_average.png
132,110216125246001bs313.JPG,110216125248001bs311.JPG,110216125248001bs312.JPG,1,132_mask_MOG2.png,132_mask_flow1.png,132_opticalflowGF_1.png,132_opticalflowGF_2.png,132_opticalflowGF_average.png
133,090216040438001bs311.JPG,090216040438001bs312.JPG,090216040438001bs313.JPG,1,133_mask_MOG2.png,133_mask_flow1.png,133_opticalflowGF_1.png,133_opticalflowGF_2.png,133_opticalflowGF_average.png
136,180216171512001bs313.JPG,180216171514001bs311.JPG,180216171514001bs312.JPG,1,136_mask_MOG2.png,136_mask_flow1.png,136_opticalflowGF_1.png,136_opticalflowGF_2.png,136_opticalflowGF_average.png
137,280116141742001bs312.JPG,280116141742001bs313.JPG,280116141744001bs311.JPG,1,137_mask_MOG2.png,137_mask_flow1.png,137_opticalflowGF_1.png,137_opticalflowGF_2.png,137_opticalflowGF_average.png
138,280116141624001bs311.JPG,280116141624001bs312.JPG,280116141624001bs313.JPG,1,138_mask_MOG2.png,138_mask_flow1.png,138_opticalflowGF_1.png,138_opticalflowGF_2.png,138_opticalflowGF_average.png
139,270116052848001bs311.JPG,270116052848001bs312.JPG,270116052848001bs313.JPG,1,139_mask_MOG2.png,139_mask_flow1.png,139_opticalflowGF_1.png,139_opticalflowGF_2.png,139_opticalflowGF_average.png
140,220116210916001bs311.JPG,220116210916001bs312.JPG,220116210916001bs313.JPG,1,140_mask_MOG2.png,140_mask_flow1.png,140_opticalflowGF_1.png,140_opticalflowGF_2.png,140_opticalflowGF_average.png
141,220116034540001bs311.JPG,220116034540001bs312.JPG,220116034540001bs313.JPG,1,141_mask_MOG2.png,141_mask_flow1.png,141_opticalflowGF_1.png,141_opticalflowGF_2.png,141_opticalflowGF_average.png
142,220116021644001bs313.JPG,220116021646001bs311.JPG,220116021646001bs312.JPG,1,142_mask_MOG2.png,142_mask_flow1.png,142_opticalflowGF_1.png,142_opticalflowGF_2.png,142_opticalflowGF_average.png
144,180216011650001bs313.JPG,180216011652001bs311.JPG,180216011652001bs312.JPG,1,144_mask_MOG2.png,144_mask_flow1.png,144_opticalflowGF_1.png,144_opticalflowGF_2.png,144_opticalflowGF_average.png
145,160216203416001bs311.JPG,160216203416001bs312.JPG,160216203416001bs313.JPG,1,145_mask_MOG2.png,145_mask_flow1.png,145_opticalflowGF_1.png,145_opticalflowGF_2.png,145_opticalflowGF_average.png
146,160216201818001bs312.JPG,160216201818001bs313.JPG,160216201820001bs311.JPG,1,146_mask_MOG2.png,146_mask_flow1.png,146_opticalflowGF_1.png,146_opticalflowGF_2.png,146_opticalflowGF_average.png
147,150216042140001bs311.JPG,150216042140001bs312.JPG,150216042140001bs313.JPG,1,147_mask_MOG2.png,147_mask_flow1.png,147_opticalflowGF_1.png,147_opticalflowGF_2.png,147_opticalflowGF_average.png
148,150216035336001bs312.JPG,150216035336001bs313.JPG,150216035338001bs311.JPG,1,148_mask_MOG2.png,148_mask_flow1.png,148_opticalflowGF_1.png,148_opticalflowGF_2.png,148_opticalflowGF_average.png
149,150216033952001bs311.JPG,150216033952001bs312.JPG,150216033952001bs313.JPG,1,149_mask_MOG2.png,149_mask_flow1.png,149_opticalflowGF_1.png,149_opticalflowGF_2.png,149_opticalflowGF_average.png
151,131116102402001c6371.JPG,131116102404001c6372.JPG,131116102404001c6373.JPG,1,151_mask_MOG2.png,151_mask_flow1.png,151_opticalflowGF_1.png,151_opticalflowGF_2.png,151_opticalflowGF_average.png
154,130216142154001c7512.JPG,130216142154001c7513.JPG,130216142156001c7511.JPG,1,154_mask_MOG2.png,154_mask_flow1.png,154_opticalflowGF_1.png,154_opticalflowGF_2.png,154_opticalflowGF_average.png
155,110216050252001c7511.JPG,110216050252001c7512.JPG,110216050252001c7513.JPG,0,155_mask_MOG2.png,155_mask_flow1.png,155_opticalflowGF_1.png,155_opticalflowGF_2.png,155_opticalflowGF_average.png
156,090216080600001c7512.JPG,090216080600001c7513.JPG,090216080602001c7511.JPG,1,156_mask_MOG2.png,156_mask_flow1.png,156_opticalflowGF_1.png,156_opticalflowGF_2.png,156_opticalflowGF_average.png
157,090216064328001c7512.JPG,090216064328001c7513.JPG,090216064330001c7511.JPG,1,157_mask_MOG2.png,157_mask_flow1.png,157_opticalflowGF_1.png,157_opticalflowGF_2.png,157_opticalflowGF_average.png
158,080216220706001c7511.JPG,080216220706001c7512.JPG,080216220706001c7513.JPG,1,158_mask_MOG2.png,158_mask_flow1.png,158_opticalflowGF_1.png,158_opticalflowGF_2.png,158_opticalflowGF_average.png
160,030216093320001c7513.JPG,030216093322001c7511.JPG,030216093322001c7512.JPG,1,160_mask_MOG2.png,160_mask_flow1.png,160_opticalflowGF_1.png,160_opticalflowGF_2.png,160_opticalflowGF_average.png
161,300116055200001c7513.JPG,300116055202001c7511.JPG,300116055202001c7512.JPG,1,161_mask_MOG2.png,161_mask_flow1.png,161_opticalflowGF_1.png,161_opticalflowGF_2.png,161_opticalflowGF_average.png
164,180216083840001c7513.JPG,180216083842001c7511.JPG,180216083842001c7512.JPG,0,164_mask_MOG2.png,164_mask_flow1.png,164_opticalflowGF_1.png,164_opticalflowGF_2.png,164_opticalflowGF_average.png
165,270116062908001c7511.JPG,270116062908001c7512.JPG,270116062908001c7513.JPG,1,165_mask_MOG2.png,165_mask_flow1.png,165_opticalflowGF_1.png,165_opticalflowGF_2.png,165_opticalflowGF_average.png
166,250116162312001c7511.JPG,250116162312001c7512.JPG,250116162312001c7513.JPG,1,166_mask_MOG2.png,166_mask_flow1.png,166_opticalflowGF_1.png,166_opticalflowGF_2.png,166_opticalflowGF_average.png
167,230116195102001c7512.JPG,230116195102001c7513.JPG,230116195104001c7511.JPG,1,167_mask_MOG2.png,167_mask_flow1.png,167_opticalflowGF_1.png,167_opticalflowGF_2.png,167_opticalflowGF_average.png
171,170216025756001c7511.JPG,170216025800001c7511.JPG,170216025800001c7512.JPG,1,171_mask_MOG2.png,171_mask_flow1.png,171_opticalflowGF_1.png,171_opticalflowGF_2.png,171_opticalflowGF_average.png
175,130216160140001c7513.JPG,130216160142001c7511.JPG,130216160142001c7512.JPG,1,175_mask_MOG2.png,175_mask_flow1.png,175_opticalflowGF_1.png,175_opticalflowGF_2.png,175_opticalflowGF_average.png
176,120516081836001c9963.JPG,120516081838001c9961.JPG,120516081838001c9962.JPG,0,176_mask_MOG2.png,176_mask_flow1.png,176_opticalflowGF_1.png,176_opticalflowGF_2.png,176_opticalflowGF_average.png
177,090516235604001c9962.JPG,090516235604001c9963.JPG,090516235606001c9961.JPG,1,177_mask_MOG2.png,177_mask_flow1.png,177_opticalflowGF_1.png,177_opticalflowGF_2.png,177_opticalflowGF_average.png
178,220416115102001c9961.JPG,220416115102001c9962.JPG,220416115102001c9963.JPG,1,178_mask_MOG2.png,178_mask_flow1.png,178_opticalflowGF_1.png,178_opticalflowGF_2.png,178_opticalflowGF_average.png
179,230816044654001cs432.JPG,230816044654001cs433.JPG,230816044656001cs431.JPG,1,179_mask_MOG2.png,179_mask_flow1.png,179_opticalflowGF_1.png,179_opticalflowGF_2.png,179_opticalflowGF_average.png
180,220816142444001cs433.JPG,220816142446001cs431.JPG,220816142446001cs432.JPG,1,180_mask_MOG2.png,180_mask_flow1.png,180_opticalflowGF_1.png,180_opticalflowGF_2.png,180_opticalflowGF_average.png
183,040816084222001cs433.JPG,040816084224001cs431.JPG,040816084224001cs432.JPG,1,183_mask_MOG2.png,183_mask_flow1.png,183_opticalflowGF_1.png,183_opticalflowGF_2.png,183_opticalflowGF_average.png
185,300716081332001cs433.JPG,300716081334001cs431.JPG,300716081334001cs432.JPG,0,185_mask_MOG2.png,185_mask_flow1.png,185_opticalflowGF_1.png,185_opticalflowGF_2.png,185_opticalflowGF_average.png
